Date,"Stress","Ansia","Disturbo depressivo","Insonnia","Solitudine"
2020-04-18,164,248,504,185,80
2020-04-19,190,222,541,202,108
2020-04-20,246,317,620,214,126
2020-04-21,250,288,625,221,156
2020-04-22,231,278,623,181,121
2020-04-23,185,275,577,214,126
2020-04-24,211,243,459,182,109
2020-04-25,169,245,455,180,83
2020-04-26,180,224,505,171,115
2020-04-27,194,220,488,174,109
2020-04-28,236,239,543,231,128
2020-04-29,244,327,532,186,87
2020-04-30,216,251,495,201,70
2020-05-01,175,335,492,171,75
2020-05-02,144,360,445,162,92
2020-05-03,181,378,493,173,88
2020-05-04,211,230,450,169,106
2020-05-05,190,236,535,171,103
2020-05-06,166,242,516,177,86
2020-05-07,194,247,481,157,83
2020-05-08,186,249,483,161,72
2020-05-09,129,206,488,134,79
2020-05-10,154,215,459,156,95
2020-05-11,205,222,498,220,80
2020-05-12,237,292,518,158,118
2020-05-13,204,295,563,183,107
2020-05-14,166,253,475,200,78
2020-05-15,207,267,465,167,77
2020-05-16,154,220,486,164,60
2020-05-17,154,191,435,111,100
2020-05-18,189,253,528,184,68
2020-05-19,263,245,568,163,79
2020-05-20,227,216,517,163,77
2020-05-21,188,242,559,181,75
2020-05-22,193,187,477,172,69
2020-05-23,180,187,486,147,84
2020-05-24,133,187,532,152,87
2020-05-25,180,239,509,160,98
2020-05-26,219,263,564,141,86
2020-05-27,228,213,533,116,88
2020-05-28,165,256,530,138,68
2020-05-29,190,186,510,141,95
2020-05-30,140,177,427,128,75
2020-05-31,145,142,460,111,80
2020-06-01,142,143,540,129,66
2020-06-02,118,168,562,139,69
2020-06-03,193,163,519,136,79
2020-06-04,158,173,562,155,94
2020-06-05,185,229,463,136,62
2020-06-06,88,197,504,151,94
2020-06-07,107,217,538,101,90
2020-06-08,151,228,590,130,107
2020-06-09,161,245,533,134,59
2020-06-10,166,176,511,116,53
2020-06-11,145,215,462,143,61
2020-06-12,153,176,420,144,49
2020-06-13,135,187,446,155,42
2020-06-14,125,200,510,133,49
2020-06-15,162,255,544,160,61
2020-06-16,166,217,459,114,50
2020-06-17,166,275,467,138,63
2020-06-18,152,246,434,113,57
2020-06-19,141,233,433,137,42
2020-06-20,111,192,440,127,49
2020-06-21,107,205,479,143,62
2020-06-22,175,264,463,160,47
2020-06-23,179,256,448,155,35
2020-06-24,222,213,436,173,46
2020-06-25,177,196,635,230,31
2020-06-26,136,189,425,199,50
2020-06-27,101,176,402,125,28
2020-06-28,82,201,448,137,53
2020-06-29,138,186,472,146,59
2020-06-30,152,151,487,130,59
2020-07-01,148,165,453,122,40
2020-07-02,146,192,458,140,33
2020-07-03,119,165,493,148,56
2020-07-04,117,173,428,129,46
2020-07-05,66,233,488,128,45
2020-07-06,123,204,528,133,31
2020-07-07,164,184,459,110,43
2020-07-08,175,222,435,122,37
2020-07-09,164,184,530,134,51
2020-07-10,126,200,436,118,30
2020-07-11,85,173,439,140,44
2020-07-12,78,155,466,138,34
